p,H,z
0.3745401188473625,1,0.1
0.9507143064099162,1,0.1
0.7319939418114051,1,0.1
0.5986584841970366,1,0.1
0.15601864044243652,1,0.1
0.15599452033620265,1,0.1
0.05808361216819946,1,0.1
0.8661761457749352,1,0.1
0.6011150117432088,1,0.1
0.7080725777960455,1,0.1
0.020584494295802447,1,0.1
0.9699098521619943,1,0.1
0.8324426408004217,1,0.1
0.21233911067827616,1,0.1
0.18182496720710062,1,0.1
0.18340450985343382,1,0.1
0.3042422429595377,1,0.1
0.5247564316322378,1,0.1
0.43194501864211576,1,0.1
0.2912291401980419,1,0.1
0.6118528947223795,1,0.1
0.13949386065204183,1,0.1
0.29214464853521815,1,0.1
0.3663618432936917,1,0.1
0.45606998421703593,1,0.1
0.7851759613930136,1,0.1
0.19967378215835974,1,0.1
0.5142344384136116,1,0.1
0.5924145688620425,1,0.1
0.046450412719997725,1,0.1
0.6075448519014384,1,0.1
0.17052412368729153,1,0.1
0.06505159298527952,1,0.1
0.9488855372533332,1,0.1
0.9656320330745594,1,0.1
0.8083973481164611,1,0.1
0.3046137691733707,1,0.1
0.09767211400638387,1,0.1
0.6842330265121569,1,0.1
0.4401524937396013,1,0.1
0.12203823484477883,1,0.1
0.4951769101112702,1,0.1
0.034388521115218396,1,0.1
0.9093204020787821,1,0.1
0.2587799816000169,1,0.1
0.662522284353982,1,0.1
0.31171107608941095,1,0.1
0.5200680211778108,1,0.1
0.5467102793432796,1,0.1
0.18485445552552704,1,0.1
0.9695846277645586,1,0.1
0.7751328233611146,1,0.1
0.9394989415641891,1,0.1
0.8948273504276488,1,0.1
0.5978999788110851,1,0.1
0.9218742350231168,1,0.1
0.0884925020519195,1,0.1
0.1959828624191452,1,0.1
0.045227288910538066,1,0.1
0.32533033076326434,1,0.1
0.388677289689482,1,0.1
0.2713490317738959,1,0.1
0.8287375091519293,1,0.1
0.3567533266935893,1,0.1
0.28093450968738076,1,0.1
0.5426960831582485,1,0.1
0.14092422497476265,1,0.1
0.8021969807540397,1,0.1
0.07455064367977082,1,0.1
0.9868869366005173,1,0.1
0.7722447692966574,1,0.1
0.1987156815341724,1,0.1
0.005522117123602399,1,0.1
0.8154614284548342,1,0.1
0.7068573438476171,1,0.1
0.7290071680409873,1,0.1
0.7712703466859457,1,0.1
0.07404465173409036,1,0.1
0.3584657285442726,1,0.1
0.11586905952512971,1,0.1
0.8631034258755935,1,0.1
0.6232981268275579,1,0.1
0.3308980248526492,1,0.1
0.06355835028602363,1,0.1
0.3109823217156622,1,0.1
0.32518332202674705,1,0.1
0.7296061783380641,1,0.1
0.6375574713552131,1,0.1
0.8872127425763265,1,0.1
0.4722149251619493,1,0.1
0.1195942459383017,1,0.1
0.713244787222995,1,0.1
0.7607850486168974,1,0.1
0.5612771975694962,1,0.1
0.770967179954561,1,0.1
0.49379559636439074,1,0.1
0.5227328293819941,1,0.1
0.42754101835854963,1,0.1
0.02541912674409519,1,0.1
0.10789142699330445,1,0.1
0.03142918568673425,1,0.1
0.6364104112637804,1,0.1
0.3143559810763267,1,0.1
0.5085706911647028,1,0.1
0.907566473926093,1,0.1
0.24929222914887494,1,0.1
0.41038292303562973,1,0.1
0.7555511385430487,1,0.1
0.22879816549162246,1,0.1
0.07697990982879299,1,0.1
0.289751452913768,1,0.1
0.16122128725400442,1,0.1
0.9296976523425731,1,0.1
0.808120379564417,1,0.1
0.6334037565104235,1,0.1
0.8714605901877177,1,0.1
0.8036720768991145,1,0.1
0.18657005888603584,1,0.1
0.8925589984899778,1,0.1
0.5393422419156507,1,0.1
0.8074401551640625,1,0.1
0.8960912999234932,1,0.1
0.3180034749718639,1,0.1
0.11005192452767676,1,0.1
0.22793516254194168,1,0.1
0.4271077886262563,1,0.1
0.8180147659224931,1,0.1
0.8607305832563434,1,0.1
0.006952130531190703,1,0.1
0.5107473025775657,1,0.1
0.417411003148779,1,0.1
0.22210781047073025,1,0.1
0.1198653673336828,1,0.1
0.33761517140362796,1,0.1
0.9429097039125192,1,0.1
0.32320293202075523,1,0.1
0.5187906217433661,1,0.1
0.7030189588951778,1,0.1
0.363629602379294,1,0.1
0.9717820827209607,1,0.1
0.9624472949421112,1,0.1
0.25178229582536416,1,0.1
0.49724850589238545,1,0.1
0.30087830981676966,1,0.1
0.2848404943774676,1,0.1
0.036886947354532795,1,0.1
0.6095643339798968,1,0.1
0.5026790232288615,1,0.1
0.05147875124998935,1,0.1
0.27864646423661144,1,0.1
0.9082658859666537,1,0.1
0.23956189066697242,1,0.1
0.1448948720912231,1,0.1
0.489452760277563,1,0.1
0.9856504541106007,1,0.1
0.2420552715115004,1,0.1
0.6721355474058786,1,0.1
0.7616196153287176,1,0.1
0.23763754399239967,1,0.1
0.7282163486118596,1,0.1
0.3677831327192532,1,0.1
0.6323058305935795,1,0.1
0.6335297107608947,1,0.1
0.5357746840747585,1,0.1
0.0902897700544083,1,0.1
0.835302495589238,1,0.1
0.32078006497173583,1,0.1
0.18651851039985423,1,0.1
0.040775141554763916,1,0.1
0.5908929431882418,1,0.1
0.6775643618422824,1,0.1
0.016587828927856152,1,0.1
0.512093058299281,1,0.1
0.22649577519793795,1,0.1
0.6451727904094499,1,0.1
0.17436642900499144,1,0.1
0.690937738102466,1,0.1
0.3867353463005374,1,0.1
0.9367299887367345,1,0.1
0.13752094414599325,1,0.1
0.3410663510502585,1,0.1
0.11347352124058907,1,0.1
0.9246936182785628,1,0.1
0.877339353380981,1,0.1
0.2579416277151556,1,0.1
0.659984046034179,1,0.1
0.8172222002012158,1,0.1
0.5552008115994623,1,0.1
0.5296505783560065,1,0.1
0.24185229090045168,1,0.1
0.09310276780589921,1,0.1
0.8972157579533268,1,0.1
0.9004180571633305,1,0.1
0.6331014572732679,1,0.1
0.3390297910487007,1,0.1
0.3492095746126609,1,0.1
0.7259556788702394,1,0.1
0.8971102599525771,1,0.1
0.8870864242651173,1,0.1
0.7798755458576239,1,0.1
0.6420316461542878,1,0.1
0.08413996499504883,1,0.1
0.16162871409461377,1,0.1
0.8985541885270792,1,0.1
0.6064290596595899,1,0.1
0.009197051616629648,1,0.1
0.1014715428660321,1,0.1
0.6635017691080558,1,0.1
0.005061583846218687,1,0.1
0.16080805141749865,1,0.1
0.5487337893665861,1,0.1
0.6918951976926933,1,0.1
0.6519612595026005,1,0.1
0.22426930946055978,1,0.1
0.7121792213475359,1,0.1
0.23724908749680007,1,0.1
0.3253996981592677,1,0.1
0.7464914051180241,1,0.1
0.6496328990472147,1,0.1
0.8492234104941779,1,0.1
0.6576128923003434,1,0.1
0.5683086033354716,1,0.1
0.09367476782809248,1,0.1
0.3677158030594335,1,0.1
0.26520236768172545,1,0.1
0.24398964337908358,1,0.1
0.9730105547524456,1,0.1
0.3930977246667604,1,0.1
0.8920465551771133,1,0.1
0.6311386259972629,1,0.1
0.7948113035416484,1,0.1
0.5026370931051921,1,0.1
0.5769038846263591,1,0.1
0.4925176938188639,1,0.1
0.1952429877980445,1,0.1
0.7224521152615053,1,0.1
0.2807723624408558,1,0.1
0.02431596643145384,1,0.1
0.6454722959071678,1,0.1
0.17711067940704894,1,0.1
0.9404585843529143,1,0.1
0.9539285770025874,1,0.1
0.9148643902204485,1,0.1
0.3701587002554444,1,0.1
0.015456616528867428,1,0.1
0.9283185625877254,1,0.1
0.42818414831731433,1,0.1
0.9666548190436696,1,0.1
0.9636199770892528,1,0.1
0.8530094554673601,1,0.1
0.2944488920695857,1,0.1
0.38509772860192526,1,0.1
0.8511366715168569,1,0.1
0.31692200515627766,1,0.1
0.1694927466860925,1,0.1
0.5568012624583502,1,0.1
0.936154774160781,1,0.1
0.696029796674973,1,0.1
0.570061170089365,1,0.1
0.09717649377076854,1,0.1
0.6150072266991697,1,0.1
0.9900538501042633,1,0.1
0.14008401523652403,1,0.1
0.5183296523637367,1,0.1
0.8773730719279554,1,0.1
0.7407686177542044,1,0.1
0.697015740995268,1,0.1
0.7024840839871093,1,0.1
0.35949115121975517,1,0.1
0.29359184426449336,1,0.1
0.8093611554785136,1,0.1
0.8101133946791808,1,0.1
0.8670723185801037,1,0.1
0.9132405525564713,1,0.1
0.5113423988609378,1,0.1
0.5015162946871996,1,0.1
0.7982951789667752,1,0.1
0.6499639307777652,1,0.1
0.7019668772577033,1,0.1
0.795792669436101,1,0.1
0.8900053418175663,1,0.1
0.3379951568515358,1,0.1
0.375582952639944,1,0.1
0.093981939840869,1,0.1
0.578280140996174,1,0.1
0.035942273796742086,1,0.1
0.46559801813246016,1,0.1
0.5426446347075766,1,0.1
0.2865412521282844,1,0.1
0.5908332605690108,1,0.1
0.03050024993904943,1,0.1
0.03734818874921442,1,0.1
0.8226005606596583,1,0.1
0.3601906414112629,1,0.1
0.12706051265188478,1,0.1
0.5222432600548044,1,0.1
0.7699935530986108,1,0.1
0.21582102749684318,1,0.1
0.6228904758190003,1,0.1
0.085347464993768,1,0.1
0.0516817211686077,1,0.1
0.531354631568148,1,0.1
0.5406351216101065,1,0.1
0.6374299014982066,1,0.1
0.7260913337226615,1,0.1
0.9758520794625346,1,0.1
0.5163003483011953,1,0.1
0.32295647294124596,1,0.1
0.7951861947687037,1,0.1
0.2708322512620742,1,0.1
0.4389714207056361,1,0.1
0.07845638134226596,1,0.1
0.02535074341545751,1,0.1
0.9626484146779251,1,0.1
0.8359801205122058,1,0.1
0.695974206093698,1,0.1
0.4089529444142699,1,0.1
0.17329432007084578,1,0.1
0.15643704267108605,1,0.1
0.25024289816459533,1,0.1
0.5492266647061205,1,0.1
0.7145959227000623,1,0.1
0.6601973767177313,1,0.1
0.27993389694594284,1,0.1
0.9548652806631941,1,0.1
0.7378969166957685,1,0.1
0.5543540525114007,1,0.1
0.6117207462343522,1,0.1
0.4196000624277899,1,0.1
0.24773098950115746,1,0.1
0.3559726786512616,1,0.1
0.7578461104643691,1,0.1
0.014393488629755868,1,0.1
0.11607264050691624,1,0.1
0.04600264202175275,1,0.1
0.040728802318970136,1,0.1
0.8554605840110072,1,0.1
0.7036578593800237,1,0.1
0.4741738290873252,1,0.1
0.09783416065100148,1,0.1
0.49161587511683236,1,0.1
0.4734717707805657,1,0.1
0.17320186991001518,1,0.1
0.43385164923797304,1,0.1
0.39850473439737344,1,0.1
0.6158500980522165,1,0.1
0.6350936508676438,1,0.1
0.04530400977204452,1,0.1
0.3746126146264712,1,0.1
0.6258599157142364,1,0.1
0.5031362585800877,1,0.1
0.8564898411883223,1,0.1
0.658693631618945,1,0.1
0.1629344270814297,1,0.1
0.07056874740042984,1,0.1
0.6424192782063156,1,0.1
0.026511310541621813,1,0.1
0.5857755812734633,1,0.1
0.9402302414249576,1,0.1
0.575474177875879,1,0.1
0.3881699262065219,1,0.1
0.6432882184423532,1,0.1
0.45825289049151663,1,0.1
0.5456167893159349,1,0.1
0.9414648087765252,1,0.1
0.38610263780077425,1,0.1
0.9611905638239142,1,0.1
0.9053506419560637,1,0.1
0.19579113478929644,1,0.1
0.06936130087516545,1,0.1
0.10077800137742665,1,0.1
0.018221825651549728,1,0.1
0.0944429607559284,1,0.1
0.6830067734163568,1,0.1
0.07118864846022899,1,0.1
0.3189756302937613,1,0.1
0.8448753109694546,1,0.1
0.023271935735825866,1,0.1
0.8144684825889358,1,0.1
0.28185477477339993,1,0.1
0.11816482762165625,1,0.1
0.6967371653641506,1,0.1
0.628942846779884,1,0.1
0.877472013527053,1,0.1
0.7350710438038858,1,0.1
0.8034809303848486,1,0.1
0.2820345725713065,1,0.1
0.17743954377972282,1,0.1
0.7506147516408583,1,0.1
0.806834739267264,1,0.1
0.9905051420006733,1,0.1
0.4126176769114265,1,0.1
0.37201808579278317,1,0.1
0.7764129607419968,1,0.1
0.34080354025301784,1,0.1
0.9307573256035647,1,0.1
0.8584127518430118,1,0.1
0.42899402737501835,1,0.1
0.7508710677914974,1,0.1
0.7545428740846823,1,0.1
0.10312386883593261,1,0.1
0.9025529066795667,1,0.1
0.5052523724478571,1,0.1
0.8264574661077416,1,0.1
0.32004960103061175,1,0.1
0.8955232284962005,1,0.1
0.3892016787341631,1,0.1
0.01083765148029836,1,0.1
0.9053819764192637,1,0.1
0.09128667678613356,1,0.1
0.31931363759041487,1,0.1
0.9500619670508049,1,0.1
0.9506071469375561,1,0.1
0.5734378881232861,1,0.1
0.6318372121697993,1,0.1
0.44844552197831977,1,0.1
0.29321077169806453,1,0.1
0.32866454536991596,1,0.1
0.6725184560770384,1,0.1
0.75237452943768,1,0.1
0.7915790437258485,1,0.1
0.7896181427945539,1,0.1
0.09120610304869037,1,0.1
0.49442030470258147,1,0.1
0.057558760016644284,1,0.1
0.5495288823237355,1,0.1
0.441530501373377,1,0.1
0.8877041827582998,1,0.1
0.3509150125520787,1,0.1
0.11706701642760586,1,0.1
0.14299168205283586,1,0.1
0.7615106317174722,1,0.1
0.6182180633162611,1,0.1
0.10112267612279024,1,0.1
0.08410680611499743,1,0.1
0.70096913145912,1,0.1
0.07276300636419353,1,0.1
