p,y
0.6227542555785884,1
0.9423659380183282,0
0.7953072586237007,1
0.7295637782954081,1
0.4890692067986647,0
0.48904953171594645,0
0.37931844126224895,0
0.8743594284024152,1
0.7307258645559775,1
0.7829492373918729,1
0.28689697247258067,0
0.9622577537588379,0
0.8523319556197837,1
0.5304844333343723,1
0.5090626619577618,1
0.5102247139410707,1
0.5858464384027994,1
0.6948906744697846,1
0.6509958213545796,1
0.5786074503772543,1
0.7358182682136025,1
0.4750758089382794,0
0.5791218547385961,1
0.6186161434811245,1
0.6625476771252561,1
0.8242427646280837,1
0.5218415484705088,1
0.689965708361942,1
0.7266144228710066,1
0.35786164626188155,0
0.733772589138079,1
0.5005526838934682,1
0.39058598469037814,0
0.9405929724765143,0
0.957602109827566,0
0.8377026314196003,1
0.5860508884436211,1
0.43351078014143307,0
0.7709410490894019,1
0.6549422751165942,1
0.4589873485419098,0
0.6810279742458872,1
0.33044030157895365,0
0.9060829685140614,0
0.5598080355232055,1
0.7602245388401769,1
0.5899340711160402,1
0.692696758771816,1
0.7051599874479793,1
0.5112858113825443,1
0.9618988027363049,0
0.8185947735528982,1
0.9317762669994616,0
0.8948799117399947,1
0.7292051627284581,1
0.9163377487728374,0
0.4226940598860525,0
0.5192596863388937,1
0.3553637755439585,0
0.5972725809451676,1
0.629831395359803,1
0.5672283174758765,1
0.8500259486122612,1
0.613709269759063,1
0.5727663220286792,1
0.7032820550934821,1
0.4763305133426228,0
0.8340497978074144,1
0.4045217725528361,0
0.9823101148869005,0
0.8169881610602272,1
0.5211742057566677,1
0.18997926438881585,0
0.8419211423774569,1
0.7823301994243057,1
0.7937452169298753,1
0.8164477977354108,1
0.40381508972461183,0
0.6145874852742732,1
0.45291248353843294,0
0.8722673849258803,1
0.7412719037671537,1
0.6002327117343178,1
0.3882538129563271,0
0.5895372750437058,1
0.5971941191220136,1
0.7940580299571323,1
0.7481101594373976,1
0.8892322135241053,1
0.6702068582711189,1
0.4566075578913861,0
0.785592949434483,1
0.8106855779201667,1
0.7119797682195902,1
0.8162798508890869,1
0.6803788961323305,1
0.6939438318729599,1
0.6488704231012995,1
0.30434079937926506,0
0.4447018339380716,0
0.32252456810714386,0
0.747558093797463,1
0.5913705658651653,1
0.6873123814702772,1
0.904693017481438,0
0.5540767213670498,1
0.6405320406002531,1
0.8078435816106702,1
0.5412649144343364,1
0.40786426036726164,0
0.5777754704560032,1
0.49326637407626617,0
0.9230268096151008,0
0.8375384857009243,1
0.7461127352194898,1
0.8780026759825819,1
0.8349147335560022,1
0.5125345016755839,1
0.893181386722797,1
0.7017132806235515,1
0.8371357424675093,1
0.8958324735885232,0
0.5933424511288073,1
0.44696766763918366,0
0.540711234943748,1
0.6486610353249809,1
0.8434615091614655,1
0.8706646609337743,1
0.2056076001879496,0
0.6883323093220942,1
0.643959184564173,1
0.5369400455920988,1
0.4568732570953321,0
0.6037751723357633,1
0.9349272134764863,0
0.5961355909703909,1
0.6920988655153774,1
0.780380069353075,1
0.6172259491019763,1
0.9643407686929455,0
0.9542246761493568,0
0.5555923512536213,1
0.6820010430026507,1
0.583989797078365,1
0.5749950852940037,1
0.3366995504885889,0
0.7347310895545507,1
0.6845499008282322,1
0.36760771293098515,0
0.5714533996884299,1
0.9052460984298039,0
0.5480716186812807,1
0.47976823889748704,0
0.6783368220787189,1
0.9807525484118087,0
0.5496232969862884,1
0.7649465480730814,1
0.8111408031835217,1
0.5468677820410386,1
0.7933325888191548,1
0.619337755246675,1
0.7455855441364104,1
0.746173235094115,1
0.7000446526897957,1
0.424875654648301,0
0.8541258138298735,1
0.594836583910234,1
0.5124970889919028,1
0.34578523269218514,0
0.7258965734457171,1
0.7676290803467737,1
0.26964943084761217,0
0.6889627570550542,1
0.5397850358188931,1
0.7517848441444718,1
0.5034860036776736,1
0.7742906518877845,1
0.6288646361212932,1
0.9292599224003306,0
0.4733305157875011,0
0.605583499041779,1
0.4504910428614326,0
0.9187201537800006,0
0.8821263643502958,1
0.5593062861789818,1
0.758983451935244,1
0.8429824662777404,1
0.7091337541697155,1
0.6971802117260454,1
0.5494973174371609,1
0.42822588609493334,0
0.8966836587475504,0
0.8991274721671295,0
0.7459675483840266,1
0.6045173387671006,1
0.6098202449026012,1
0.7921552131065892,1
0.8966036481628741,0
0.8891397971048586,1
0.8212498965281946,1
0.7502670730913642,1
0.41726934462014814,0
0.4935912245481672,0
0.8977014827010588,0
0.7332433380888984,1
0.22532443730050722,0
0.4377676214385987,0
0.7607040820005325,1
0.18420761177129974,0
0.49293633388875707,0
0.7061067936143964,1
0.7747706714312527,1
0.7550753076509209,1
0.5383455675566537,1
0.7850470890693322,1
0.5466240975919794,1
0.5973095983726338,1
0.8029747497983597,1
0.7539450840910668,1
0.8630422121837928,1
0.7578261113743879,1
0.7152761560986621,1
0.42889786682970465,0
0.6193035946402626,1
0.5636230250083113,1
0.5508208842766031,1
0.9657232807405356,0
0.6320259649969338,1
0.8927995990641066,1
0.745025434559135,1
0.8297561305159636,1
0.6845302307230114,1
0.719311439337361,1
0.679778226914823,1
0.5187385012457524,1
0.7903368001395323,1
0.5726734599344464,1
0.3006215964238935,0
0.7519297168355873,1
0.5055554227059899,1
0.9326569746011412,0
0.9455291350350409,0
0.9105434202752369,0
0.6205415348130401,1
