sensitive-attribute,Y,scores,D,dis
1,1,0.8583345758753127,1,2.0
0,0,0.5722420936767741,1,2.0
0,1,0.860637443550079,1,2.0
0,0,0.8311643821431378,1,2.0
0,1,0.8389063854392863,1,2.0
0,1,0.8902643209871333,1,2.0
1,1,0.8028446305105407,1,2.0
0,1,0.669618518047112,1,2.0
0,0,0.8356728525350049,1,2.0
0,1,0.9306805829037649,1,2.0
0,1,0.6941712529563818,1,2.0
0,1,0.7855159851930947,1,2.0
0,1,0.8783690989292017,1,2.0
0,1,0.7398331684918125,1,2.0
1,0,0.6300327624723019,1,2.0
0,0,0.6505973808682172,1,2.0
0,0,0.6827034291003746,1,2.0
0,1,0.6724186385744229,1,2.0
0,0,0.8054938882432674,1,2.0
0,1,0.818214428354649,1,2.0
0,0,0.649185798912202,1,2.0
0,1,0.8789797251927777,1,2.0
0,1,0.8891094121370207,1,2.0
0,1,0.8209240750872462,1,2.0
0,1,0.7916218706596022,1,2.0
0,1,0.8613380119449312,1,2.0
0,1,0.9336418938434787,1,2.0
0,1,0.747930720223842,1,2.0
0,1,0.8034166266044699,1,2.0
0,1,0.7191444368689128,1,2.0
0,1,0.7290579014208096,1,2.0
1,1,0.7747889630829077,1,2.0
0,1,0.9245217084225409,1,2.0
0,0,0.6588905718851235,1,2.0
0,0,0.7765628067742486,1,2.0
0,1,0.8951258561211368,1,2.0
0,1,0.8533266810931116,1,2.0
0,1,0.7633397330232035,1,2.0
0,1,0.7585164284266276,1,2.0
0,1,0.6849554255027432,1,2.0
0,0,0.4681633533771838,0,2.0
0,0,0.7214674849628273,1,2.0
0,1,0.6602835388459798,1,2.0
0,1,0.7724692114850401,1,2.0
0,0,0.7348039423499749,1,2.0
0,1,0.7427262409420953,1,2.0
0,1,0.8441786968623558,1,2.0
0,1,0.9151400592407799,1,2.0
0,0,0.7391992712325912,1,2.0
0,1,0.8111365295975912,1,2.0
0,1,0.7669165160903093,1,2.0
0,0,0.8351964268608274,1,2.0
0,0,0.9221984633902932,1,2.0
0,0,0.727522829028971,1,2.0
0,1,0.8512040512979957,1,2.0
0,1,0.7654057000972918,1,2.0
0,1,0.8853871335068092,1,2.0
0,1,0.7402243938904498,1,2.0
0,0,0.5457158943330698,1,2.0
0,1,0.879133319910638,1,2.0
0,1,0.7943328868680486,1,2.0
0,0,0.5058698643053992,1,2.0
0,0,0.5068767561787602,1,2.0
0,1,0.8317248850933422,1,2.0
0,1,0.767727575023683,1,2.0
0,0,0.8296728928776058,1,2.0
0,1,0.9217707001033437,1,2.0
0,1,0.702331266622314,1,2.0
0,1,0.8147458429407048,1,2.0
0,1,0.7893800591026029,1,2.0
0,1,0.8413396125918932,1,2.0
0,1,0.8241656699294945,1,2.0
0,1,0.7438700556979686,1,2.0
0,1,0.7616851436861003,1,2.0
1,0,0.3537834128127429,0,2.0
0,0,0.5266301201991418,1,2.0
0,1,0.7959261797019618,1,2.0
0,1,0.9008624815714468,1,2.0
0,1,0.8711916385108837,1,2.0
0,1,0.8764203449349149,1,2.0
0,1,0.9193331459481542,1,2.0
0,0,0.6567066240622645,1,2.0
0,1,0.8355299198722055,1,2.0
0,1,0.745475842569319,1,2.0
0,1,0.6327611211424168,1,2.0
0,1,0.9236484867441291,1,2.0
0,0,0.590130582709066,1,2.0
0,1,0.6779056668294737,1,2.0
1,1,0.7383785837531187,1,2.0
0,1,0.848068308292876,1,2.0
0,0,0.5942832265050304,1,2.0
0,1,0.788444236448133,1,2.0
0,1,0.77827711953528,1,2.0
0,1,0.856618975265131,1,2.0
0,1,0.7853874478935563,1,2.0
0,1,0.8484551656048868,1,2.0
0,1,0.7961323994083466,1,2.0
0,1,0.8847446853175621,1,2.0
0,1,0.8075168539640021,1,2.0
1,1,0.7447059341789952,1,2.0
0,1,0.7878252020119426,1,2.0
0,1,0.7704313922127942,1,2.0
0,1,0.8047333451367574,1,2.0
0,1,0.8704056963873902,1,2.0
0,0,0.731384965800622,1,2.0
0,1,0.8054938882432674,1,2.0
0,0,0.761916912063604,1,2.0
0,0,0.4389836980504741,0,2.0
0,1,0.7788766517993878,1,2.0
0,1,0.8820922816245921,1,2.0
0,1,0.8095981965775423,1,2.0
0,1,0.8494279496241902,1,2.0
1,1,0.6514729125380929,1,2.0
0,1,0.7444782612832255,1,2.0
0,1,0.7245586965725382,1,2.0
0,1,0.8886416681907959,1,2.0
0,1,0.786982654789168,1,2.0
0,0,0.6661515583618295,1,2.0
0,0,0.594857122908023,1,2.0
0,1,0.8299031648457805,1,2.0
0,0,0.6550943310865633,1,2.0
0,1,0.8651517808220497,1,2.0
0,0,0.625182530173941,1,2.0
0,0,0.7384103368018018,1,2.0
0,1,0.8710884590210427,1,2.0
0,1,0.6291768487951677,1,2.0
0,1,0.4261409927424828,0,2.0
0,0,0.7717695647665566,1,2.0
0,1,0.9206905959268195,1,2.0
0,1,0.7496941730257864,1,2.0
0,0,0.6734742783077351,1,2.0
0,0,0.644145397144489,1,2.0
0,1,0.7420255260225219,1,2.0
0,1,0.7535516535431946,1,2.0
0,1,0.8242576793138218,1,2.0
0,1,0.6864147512915761,1,2.0
0,1,0.8737551608063501,1,2.0
0,1,0.8927163186634782,1,2.0
0,1,0.8806573072469864,1,2.0
0,1,0.8962311310610861,1,2.0
1,0,0.366737573777575,0,2.0
0,1,0.8547033369802259,1,2.0
0,1,0.8928876147955366,1,2.0
0,1,0.8830220236437493,1,2.0
0,1,0.8109036892381701,1,2.0
0,1,0.7031188003862058,1,2.0
0,1,0.6490559988423402,1,2.0
0,1,0.8096037948055106,1,2.0
0,1,0.4249195185297772,0,2.0
0,1,0.824170932863832,1,2.0
0,0,0.7219569787702969,1,2.0
0,1,0.679606159545973,1,2.0
0,1,0.7136910592214001,1,2.0
0,1,0.8988748250278545,1,2.0
1,1,0.7877117074201496,1,2.0
0,1,0.8794723723102819,1,2.0
0,1,0.7575417255163011,1,2.0
0,1,0.764748121655049,1,2.0
0,1,0.64778515719265,1,2.0
0,0,0.6402746475129918,1,2.0
0,1,0.8419662038926821,1,2.0
0,1,0.8454223768145881,1,2.0
0,0,0.8072281314486982,1,2.0
0,0,0.6903984816837732,1,2.0
0,0,0.7547656629087133,1,2.0
0,1,0.8148416740788581,1,2.0
0,1,0.8862822035785021,1,2.0
1,1,0.7322497337047341,1,2.0
0,1,0.8017663444301141,1,2.0
0,1,0.7831052064176154,1,2.0
1,0,0.6876727159460705,1,2.0
0,1,0.7986012851379195,1,2.0
0,1,0.9093502852843376,1,2.0
0,1,0.9327466644713115,1,2.0
0,1,0.8729615757953277,1,2.0
0,0,0.7430763963290891,1,2.0
1,0,0.7822601673133955,1,2.0
0,1,0.6632441087002106,1,2.0
0,1,0.6301894000358278,1,2.0
0,0,0.9018910730626448,1,2.0
0,1,0.7908376121762515,1,2.0
0,1,0.7579330364951494,1,2.0
0,1,0.8198692531417647,1,2.0
0,1,0.7528094140069118,1,2.0
0,1,0.7500084583486757,1,2.0
0,1,0.8330093811296752,1,2.0
0,0,0.7579150628568208,1,2.0
0,1,0.6319812728459429,1,2.0
0,0,0.7865758680454578,1,2.0
0,1,0.8643657503276782,1,2.0
0,1,0.6767631731936582,1,2.0
1,1,0.6774544531275195,1,2.0
0,1,0.7058989368869429,1,2.0
0,1,0.6143513662875448,1,2.0
0,1,0.8594606695984502,1,2.0
0,1,0.6600614926509664,1,2.0
0,1,0.8691127041212374,1,2.0
0,1,0.9159858638053396,1,2.0
