sensitive-attribute,Y,scores,D,dis
0,0,0.5559141603859871,1,2.0
0,0,0.5816621581522526,1,2.0
8,1,0.01836981235430888,0,2.0
0,1,0.5636301501035267,1,2.0
0,0,0.5720669295839725,1,2.0
0,0,0.5151836170251614,1,2.0
0,0,0.5858222234381952,1,2.0
0,0,0.3831867971066048,0,2.0
0,1,0.7264845668376364,1,2.0
1,0,0.3992264074685265,0,2.0
0,0,0.2253696238997967,0,2.0
0,0,0.5265570293437473,1,2.0
1,0,0.18697287459731293,0,2.0
1,0,0.5829204075935253,1,2.0
8,1,0.019916813657491688,0,2.0
0,0,0.6604333471519207,1,2.0
0,0,0.5898502826324249,1,2.0
1,0,0.5773324933496274,1,2.0
1,0,0.44277984464563785,0,2.0
1,0,0.4366398686860293,0,2.0
0,0,0.6680560798688143,1,2.0
0,0,0.7220923533941577,1,2.0
0,0,0.6853401025458785,1,2.0
0,0,0.7133566336798183,1,2.0
1,0,0.31483567439767707,0,2.0
0,1,0.5933730084610028,1,2.0
1,0,0.27318510917916733,0,2.0
0,1,0.7893580931326812,1,2.0
0,1,0.5816621581522526,1,2.0
1,0,0.4933445897631224,0,2.0
0,0,0.7151405333426235,1,2.0
0,0,0.6056784467227597,1,2.0
8,1,0.012281605316607857,0,2.0
0,0,0.5588267397744006,1,2.0
0,1,0.5620025339796019,1,2.0
0,0,0.5151836170251614,1,2.0
1,0,0.33517242585739415,0,2.0
1,0,0.02426497622223792,0,2.0
0,0,0.7248821617714297,1,2.0
0,0,0.5114294479599786,1,2.0
0,0,0.765153827560428,1,2.0
1,0,0.46243413139521644,0,2.0
1,0,0.34646085795126563,0,2.0
0,0,0.7088720733071705,1,2.0
1,0,0.5926990680567155,1,2.0
1,0,0.412068572845887,0,2.0
0,0,0.7839075147844581,1,2.0
0,0,0.661100041600599,1,2.0
0,0,0.7757577861358298,1,2.0
0,0,0.6684784207091161,1,2.0
0,0,0.6231346984871713,1,2.0
1,1,0.4523556973983952,0,2.0
8,0,0.02106353796716979,0,2.0
0,0,0.5113182625916927,1,2.0
0,1,0.6532566147094998,1,2.0
1,1,0.47529144234325255,0,2.0
8,0,0.026328947544354157,0,2.0
0,0,0.8004809669720657,1,2.0
0,0,0.20534441171100007,0,2.0
0,0,0.5955384630791892,1,2.0
0,1,0.72170987975917,1,2.0
0,1,0.4700816953848327,0,2.0
0,0,0.5819711778757322,1,2.0
1,0,0.43994413244950825,0,2.0
1,0,0.238883335253814,0,2.0
1,1,0.4479609192709193,0,2.0
1,0,0.45350543559832185,0,2.0
0,1,0.7727021988795172,1,2.0
0,1,0.7070649979287785,1,2.0
0,0,0.531775719220801,1,2.0
0,0,0.7728137144489742,1,2.0
0,0,0.5757946271642891,1,2.0
0,0,0.706670244029502,1,2.0
5,0,0.09261097435444685,0,2.0
7,0,0.037354301908819915,0,2.0
1,0,0.4555330553276661,0,2.0
0,1,0.555626816577933,1,2.0
0,0,0.43813516152215165,0,2.0
1,0,0.5484608494491968,1,2.0
1,0,0.4931307577014364,0,2.0
8,0,0.04655169208955711,0,2.0
5,1,0.10162610630688779,0,2.0
0,1,0.778136309078752,1,2.0
0,0,0.6683376705188567,1,2.0
0,0,0.6117308352684913,1,2.0
7,0,0.067924454048497,0,2.0
0,0,0.22076802930856493,0,2.0
0,0,0.6856642923672451,1,2.0
8,0,0.020453947559898013,0,2.0
5,0,0.09304764709365475,0,2.0
1,1,0.34373899825830945,0,2.0
0,1,0.4058612226004809,0,2.0
1,0,0.5881198909609128,1,2.0
0,1,0.7219648981155633,1,2.0
0,1,0.7151405333426235,1,2.0
1,0,0.6021534080659909,1,2.0
1,0,0.6722172096979816,1,2.0
0,0,0.5636301501035267,1,2.0
0,0,0.7220923533941577,1,2.0
0,1,0.5636301501035267,1,2.0
1,0,0.33450209858062396,0,2.0
0,0,0.7783554996170406,1,2.0
1,1,0.5244420065022117,1,2.0
5,1,0.08285431913591079,0,2.0
1,1,0.23879611065489098,0,2.0
1,0,0.539871075438849,1,2.0
0,0,0.571911459835442,1,2.0
0,0,0.48949832932524723,0,2.0
0,1,0.6457190035188314,1,2.0
1,0,0.28681026526678405,0,2.0
1,0,0.34319220240225673,0,2.0
0,0,0.7248821617714297,1,2.0
0,0,0.8028381770197872,1,2.0
0,0,0.3338153710111552,0,2.0
0,0,0.5716035019608466,1,2.0
0,0,0.5639425041495719,1,2.0
0,0,0.7137460342405655,1,2.0
1,0,0.5226772746629362,1,2.0
0,0,0.653112755523676,1,2.0
0,0,0.5859762984799072,1,2.0
0,0,0.6605757481753786,1,2.0
0,1,0.6307235637575676,1,2.0
0,0,0.72170987975917,1,2.0
0,1,0.5190027116223125,1,2.0
0,0,0.7532067557112192,1,2.0
0,0,0.636234473025172,1,2.0
1,0,0.5674493458613185,1,2.0
0,0,0.5898502826324249,1,2.0
0,0,0.6998935002995486,1,2.0
5,0,0.08565448211172327,0,2.0
0,0,0.584154052953882,1,2.0
0,0,0.5816621581522526,1,2.0
0,1,0.7219648981155633,1,2.0
0,1,0.5898502826324249,1,2.0
1,0,0.5926990680567155,1,2.0
1,0,0.572456732314518,1,2.0
0,0,0.7376444895777408,1,2.0
0,0,0.6454283971755831,1,2.0
0,0,0.765495993973812,1,2.0
0,1,0.5657786653352297,1,2.0
0,0,0.6601484580672837,1,2.0
1,0,0.6793325790211892,1,2.0
1,0,0.5406098264542036,1,2.0
0,0,0.6486182017005026,1,2.0
0,0,0.6168357517137594,1,2.0
0,1,0.7728137144489742,1,2.0
0,1,0.7220923533941577,1,2.0
0,0,0.593679420460749,1,2.0
0,0,0.7506812407388205,1,2.0
0,0,0.7728137144489742,1,2.0
0,0,0.5486851408539597,1,2.0
0,0,0.5819711778757322,1,2.0
0,1,0.706670244029502,1,2.0
0,0,0.5816621581522526,1,2.0
0,0,0.6969581887685825,1,2.0
0,1,0.555626816577933,1,2.0
5,0,0.08739656652092684,0,2.0
1,1,0.6793325790211892,1,2.0
0,0,0.5647710434525636,1,2.0
1,0,0.4777424037097783,0,2.0
5,1,0.086140593399506,0,2.0
1,1,0.5843735250770957,1,2.0
0,1,0.601629390731744,1,2.0
0,0,0.6333515789969143,1,2.0
0,0,0.5859762984799072,1,2.0
0,1,0.6605757481753786,1,2.0
0,0,0.11168203013861347,0,2.0
1,0,0.05633254424262783,0,2.0
8,0,0.024550574168030238,0,2.0
0,1,0.6715453553269445,1,2.0
1,0,0.4834537319390023,0,2.0
0,1,0.5112085254429276,1,2.0
0,0,0.5636301501035267,1,2.0
0,1,0.5640986621638188,1,2.0
0,0,0.7284366261690102,1,2.0
0,1,0.6605757481753786,1,2.0
5,1,0.11992290559523452,0,2.0
0,0,0.32249433459320065,0,2.0
0,0,0.6683376705188567,1,2.0
7,0,0.02966066931019435,0,2.0
1,0,0.6024133285249276,1,2.0
0,0,0.7316854407891332,1,2.0
0,0,0.6601484580672837,1,2.0
0,0,0.734565479620966,1,2.0
0,0,0.7840150695173611,1,2.0
5,1,0.15370128021846605,0,2.0
7,0,0.03707179884890543,0,2.0
0,0,0.7836922889498356,1,2.0
0,1,0.6025667307693345,1,2.0
0,0,0.7069334478703606,1,2.0
1,0,0.5925010897940629,1,2.0
0,0,0.6683376705188567,1,2.0
0,0,0.7313112570988916,1,2.0
1,0,0.12453573100169954,0,2.0
0,1,0.5898502826324249,1,2.0
1,0,0.4834537319390023,0,2.0
0,0,0.5190027116223125,1,2.0
1,0,0.5853829045267316,1,2.0
0,0,0.5112085254429276,1,2.0
0,0,0.7783554996170406,1,2.0
0,0,0.14483907587690606,0,2.0
0,1,0.7264845668376364,1,2.0
0,0,0.5906653262113363,1,2.0
0,1,0.597836234878043,1,2.0
7,0,0.02601329721146829,0,2.0
0,1,0.3096382071670181,0,2.0
0,0,0.5190027116223125,1,2.0
5,0,0.05672674417467454,0,2.0
0,0,0.7069334478703606,1,2.0
0,0,0.706670244029502,1,2.0
0,0,0.7313112570988916,1,2.0
7,0,0.02797156089306951,0,2.0
0,0,0.6605757481753786,1,2.0
5,0,0.06455902333586694,0,2.0
1,0,0.252468743218145,0,2.0
1,0,0.48501582672726645,0,2.0
0,0,0.7281853089349882,1,2.0
1,0,0.486404210294922,0,2.0
0,0,0.7136162692611628,1,2.0
0,0,0.765153827560428,1,2.0
0,0,0.6980544324467308,1,2.0
0,0,0.7839075147844581,1,2.0
0,0,0.6532566147094998,1,2.0
0,1,0.597836234878043,1,2.0
0,0,0.5178340279697425,1,2.0
0,0,0.7153991977521463,1,2.0
0,1,0.3416602592960217,0,2.0
0,1,0.7284366261690102,1,2.0
0,0,0.7113977343051402,1,2.0
0,1,0.7724790518509027,1,2.0
0,0,0.6601484580672837,1,2.0
0,1,0.6379616490114141,1,2.0
0,0,0.6528249532373687,1,2.0
0,0,0.6604333471519207,1,2.0
0,1,0.5765994077395805,1,2.0
0,0,0.5819711778757322,1,2.0
0,0,0.7281853089349882,1,2.0
0,0,0.2957959719302283,0,2.0
0,0,0.5397444443045754,1,2.0
0,0,0.6605757481753786,1,2.0
0,0,0.6437169491638165,1,2.0
0,0,0.6555271042423704,1,2.0
8,0,0.02498080647533115,0,2.0
1,0,0.6793325790211892,1,2.0
0,1,0.7894636635831888,1,2.0
0,0,0.5859762984799072,1,2.0
1,0,0.5848361706358872,1,2.0
0,0,0.661100041600599,1,2.0
0,0,0.653112755523676,1,2.0
1,0,0.5674493458613185,1,2.0
1,0,0.34083446966532205,0,2.0
1,0,0.16320042896169062,0,2.0
5,0,0.1858750393730906,0,2.0
0,0,0.5699799088716443,1,2.0
0,0,0.5640986621638188,1,2.0
0,0,0.4868383266111356,0,2.0
0,0,0.7133566336798183,1,2.0
0,0,0.682121365163492,1,2.0
0,0,0.18032239296614666,0,2.0
0,0,0.5112085254429276,1,2.0
1,0,0.3577507245406527,0,2.0
8,1,0.023943294938028794,0,2.0
0,0,0.7669478781317844,1,2.0
0,0,0.5621588473399957,1,2.0
1,1,0.43632042257393944,0,2.0
0,0,0.6601484580672837,1,2.0
0,0,0.7784650367887634,1,2.0
7,0,0.03698316245311712,0,2.0
1,0,0.5383788939627645,1,2.0
1,0,0.0969766065018603,0,2.0
0,0,0.5194782887922562,1,2.0
0,1,0.6382549451448732,1,2.0
0,1,0.510891158877159,1,2.0
0,1,0.7444329315392041,1,2.0
0,0,0.6601484580672837,1,2.0
0,0,0.5744753280566779,1,2.0
1,0,0.28791129316488767,0,2.0
8,1,0.01836981235430888,0,2.0
0,0,0.6048098696616198,1,2.0
1,0,0.4777424037097783,0,2.0
0,1,0.5051726936868701,1,2.0
0,1,0.638401554603612,1,2.0
0,1,0.778136309078752,1,2.0
0,0,0.5764016932347522,1,2.0
1,0,0.5174801594917299,1,2.0
5,1,0.06616860152984651,0,2.0
0,0,0.5898502826324249,1,2.0
0,0,0.5898502826324249,1,2.0
0,1,0.5640986621638188,1,2.0
0,1,0.40538536155312144,0,2.0
0,1,0.7610929209247997,1,2.0
0,0,0.778136309078752,1,2.0
7,1,0.024279456412612133,0,2.0
1,1,0.598621701393768,1,2.0
0,0,0.6928007081003461,1,2.0
1,0,0.4377916881297053,0,2.0
1,1,0.4564774810422219,0,2.0
0,0,0.2695972448545455,0,2.0
0,0,0.7670613657868111,1,2.0
5,0,0.0678073749961213,0,2.0
0,0,0.6455675008420945,1,2.0
0,1,0.5194782887922562,1,2.0
0,0,0.5811278913531224,1,2.0
0,0,0.7728137144489742,1,2.0
0,0,0.5816621581522526,1,2.0
0,0,0.653112755523676,1,2.0
0,0,0.7653819769383352,1,2.0
0,0,0.6438625801530838,1,2.0
1,1,0.578855489973288,1,2.0
0,0,0.575393220827656,1,2.0
0,0,0.6539300162073971,1,2.0
0,0,0.4367599509632555,0,2.0
0,1,0.590003907936821,1,2.0
5,0,0.11441585360097811,0,2.0
0,0,0.5737394286317641,1,2.0
0,0,0.6683376705188567,1,2.0
1,0,0.28911111429406755,0,2.0
0,0,0.6937839848368618,1,2.0
0,0,0.7839075147844581,1,2.0
0,0,0.7235519758496016,1,2.0
1,0,0.5237001626119583,1,2.0
0,0,0.6926655366300829,1,2.0
0,0,0.765153827560428,1,2.0
5,0,0.11081008104824441,0,2.0
0,0,0.5715581983535559,1,2.0
0,0,0.6601484580672837,1,2.0
0,1,0.7136162692611628,1,2.0
